https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSsh8wTkSQhUaGEE7Sk44_gCRKM0pd_uTIJzw&s,Tên Thuốc Tây,Hoạt Chất,URL Ảnh Hiện Tại,URL Ảnh Mới (Điền vào đây)
1,Paracetamol,Paracetamol (Acetaminophen),https://trungtamthuoc.com/images/products/paratramol-l4887.jpg,
2,Ibuprofen,Ibuprofen,https://www.vinmec.com/static/uploads/medium_Hinh_anh_thuoc_chong_viem_ibuprofen_774d1dc8bf.png,
3,Diphenhydramine,Diphenhydramine,https://www.crescentpharma.com/wp-content/uploads/2016/01/Diphenhydramine-50mg-2.png,
4,Guaifenesin,Guaifenesin,https://www.vinmec.com/static/uploads/20220312_171056_775437_guaifenesin_a_max_1800x1800_jpg_f5ba20c0f8.jpg,
5,Omeprazole,Omeprazole,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR0GFNPrf-IOww-hLRi3b3gy9mGIGV5RKZUfg&s,
6,Ranitidine,Ranitidine,https://5.imimg.com/data5/SELLER/Default/2022/7/CD/MN/UA/147460468/ranitidine-150mg-.jpg,
7,Famotidine,Famotidine,https://5.imimg.com/data5/GLADMIN/Default/2023/5/306626631/DD/OM/QZ/132158408/famotidine-tablets-20mg.jpeg,
8,Esomeprazole,Esomeprazole,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ6YGkyni0w2NP8njq4EiqEbd4Bp-YD36_9Eg&s,
9,Lansoprazole,Lansoprazole,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR-f2OhOZGm0GFeMhd3M3HNysiFxqpo-HMG7A&s,
10,Dicyclomine,Dicyclomine,https://5.imimg.com/data5/SELLER/Default/2022/6/MO/PQ/EX/31086406/dicyclomine-hydrochloride-tablets.jpg,
11,Loperamide,Loperamide,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQaqSUMraHMBvyBZgRcRnH-E5OxR9BFxr0grA&s,
12,Rifaximin,Rifaximin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRTvme9g20453AY4IZ4eBiJCBEymVuFNDh7OA&s,
13,Dextromethorphan,Dextromethorphan,https://www.vinmec.com/static/uploads/20200425_180940_111844_dextromethorphan_max_1800x1800_jpg_00650ff0b7.jpg,
14,Albuterol,Albuterol,https://www.koala.health/_next/image?url=https%3A%2F%2Fres.cloudinary.com%2Fkoala-health%2Fimage%2Fupload%2Fc_scale%2Ch_900%2Funvuigigbazb2gvyh9ox%3F_a%3DBACAEuBn&w=640&q=75,
15,Metformin,Metformin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRGqZrHlGZ6WnAiGhJeh-vd65928zOOIhbl3A&s,
16,Glipizide,Glipizide,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSRWBOVy5gE9ojjatdKBeU_LrRS8t5A7y0xHb-Ha-e1Ll4_qoNznQ76m6vOO_zLoR36cg61ug&s=10,
17,Insulin,Insulin Human; Analogues,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSsh8wTkSQhUaGEE7Sk44_gCRKM0pd_uTIJzw&s,
18,Amlodipine,Lisinopril,https://prod-cdn.pharmacity.io/blog/amlodipine-la-thuoc-gi-hinh-1.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAUYXZVMJMURHIYJSN%2F20241122%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Date=20241122T034157Z&X-Amz-SignedHeaders=host&X-Amz-Expires=600&X-Amz-Signature=38f35747a28d9308a130bce312e7608e7ee6a7fb68e05c29d04d761870becaad,
,,,,
20,Hydrochlorothiazide,Hydrochlorothiazide,https://www.vinmec.com/static/uploads/20201217_075914_217866_Hinh_anh_thuoc_Hydr_max_1800x1800_jpg_c53699693d.jpg,
21,Atorvastatin,Atorvastatin,https://cdn.upharma.vn/unsafe/3840x0/filters:quality(90)/san-pham/22641.png,
